,mu,lambda,prob,HV
0,51.39160156,1.44116211,0.44775391,0.0410939282803367
1,512.475586,1.44116211,0.447753906,0.2635657465947754
2,51.39160156,1.89282227,0.44775391,0.1251783987929254
3,51.39160156,1.44116211,0.84423828,0.0721880074256986
4,512.47558594,1.89282227,0.84423828,0.1714169389441562
5,526.39160156,2.69116211,0.94775391,0.1553493699731651
6,987.475586,2.69116211,0.947753906,0.3979060227007868
7,526.39160156,0.64282227,0.94775391,0.23681735932084
8,526.391602,2.69116211,0.344238281,0.1866418518760476
10,763.891602,0.816162109,0.197753906,0.0938941868153805
11,274.975586,0.816162109,0.197753906,0.0370046926633223
12,763.891602,1.26782227,0.197753906,0.0805572066590088
13,763.891602,0.816162109,0.0942382812,0.1114674997557317
14,274.975586,1.26782227,0.0942382812,0.0761171303031051
15,288.89160156,2.06616211,0.69775391,0.2709310234072377
16,749.975586,2.06616211,0.697753906,0.37355452162057
17,288.89160156,2.51782227,0.69775391,0.1781993752337271
18,288.89160156,2.06616211,0.59423828,0.1122439167516425
19,749.975586,2.51782227,0.594238281,0.1676641260590613
22,407.64160156,2.83032227,0.82275391,0.2725583357173841
24,631.22558594,2.83032227,0.96923828,0.3514595002498634
25,882.641602,1.75366211,0.322753906,0.1788392096871583
26,156.22558594,1.75366211,0.32275391,0.1313444124091212
27,882.641602,1.58032227,0.322753906,0.2674685889977894
28,882.641602,1.75366211,0.469238281,0.3114117197249365
29,156.22558594,1.58032227,0.46923828,0.0793443030495381
30,645.141602,1.12866211,0.572753906,0.2382238700941841
31,868.725586,1.12866211,0.572753906,0.1702718283940034
32,645.141602,0.955322266,0.572753906,0.1833972795594599
33,645.141602,1.12866211,0.219238281,0.1562054549152799
34,868.725586,0.955322266,0.219238281,0.1811175013534355
35,170.141602,2.37866211,0.0727539062,0.0506985258240604
36,393.725586,2.37866211,0.0727539062,0.2166796563705871
37,170.141602,2.20532227,0.0727539062,0.1103276889398455
38,170.14160156,2.37866211,0.71923828,0.1255604618787624
39,393.72558594,2.20532227,0.71923828,0.1616203426541126
40,229.51660156,0.97241211,0.51025391,0.1258924298599337
41,96.85058594,0.97241211,0.51025391,0.0943740506615883
42,229.51660156,0.79907227,0.51025391,0.1384893242913558
43,229.51660156,0.97241211,0.53173828,0.0919913337520949
44,96.85058594,0.79907227,0.53173828,0.0924832871928559
45,704.516602,2.22241211,0.0102539062,0.1237295213603545
46,571.850586,2.22241211,0.0102539062,0.1599076982371324
47,704.516602,2.04907227,0.0102539062,0.170100626807638
48,704.516602,2.22241211,0.0317382812,0.1161981475335192
49,571.850586,2.04907227,0.0317382812,0.092683889573538
50,942.016602,1.59741211,0.760253906,0.1876727712306163
51,334.35058594,1.59741211,0.76025391,0.0842635823509771
52,942.016602,2.67407227,0.760253906,0.3996676844610254
53,942.016602,1.59741211,0.281738281,0.1823459522590483
54,334.350586,2.67407227,0.281738281,0.2612125916264905
55,467.016602,2.84741211,0.260253906,0.1907182913067379
56,809.350586,2.84741211,0.260253906,0.1979375515237878
57,467.016602,1.42407227,0.260253906,0.1454642209639622
58,467.01660156,2.84741211,0.78173828,0.353216558985885
59,809.350586,1.42407227,0.781738281,0.1288805279167676
60,348.266602,1.28491211,0.135253906,0.1577712940756925
61,928.100586,1.28491211,0.135253906,0.1156232253110861
62,348.266602,1.73657227,0.135253906,0.2122820243775609
63,348.26660156,1.28491211,0.65673828,0.100491423798479
64,928.100586,1.73657227,0.656738281,0.1943159960523484
65,823.266602,2.53491211,0.635253906,0.2501968117915488
66,453.10058594,2.53491211,0.63525391,0.3262242229189301
67,823.266602,2.98657227,0.635253906,0.4038575791023585
68,823.266602,2.53491211,0.156738281,0.1730301581394814
69,453.100586,2.98657227,0.156738281,0.1900857332168463
70,585.766602,0.659912109,0.385253906,0.07634967381003
72,585.766602,2.36157227,0.385253906,0.2817461404022887
73,585.766602,0.659912109,0.406738281,0.1335288680578245
74,690.600586,2.36157227,0.406738281,0.2751579813819677
75,110.76660156,1.90991211,0.88525391,0.2176104005986217
76,215.60058594,1.90991211,0.88525391,0.1677977621176598
77,110.76660156,1.11157227,0.88525391,0.1676971001210229
78,110.76660156,1.90991211,0.90673828,0.1204005528303062
79,215.60058594,1.11157227,0.90673828,0.0873679762965859
80,140.454102,0.738037109,0.0415039062,0.095322440485509
82,140.454102,2.43969727,0.0415039062,0.036059329440386
83,140.454102,0.738037109,0.125488281,0.0273546620008299
84,839.038086,2.43969727,0.125488281,0.1547378134856403
85,615.454102,1.98803711,0.541503906,0.2625745209890472
86,364.03808594,1.98803711,0.54150391,0.2577718773492903
87,615.454102,1.18969727,0.541503906,0.1094484169892769
88,615.45410156,1.98803711,0.62548828,0.2513066153769006
89,364.03808594,1.18969727,0.62548828,0.1431035933089857
90,852.954102,1.36303711,0.291503906,0.2713335681031976
91,601.538086,1.36303711,0.291503906,0.1890942172013688
93,852.95410156,1.36303711,0.87548828,0.2096316502699194
95,377.95410156,2.61303711,0.79150391,0.1402278392315641
96,126.53808594,2.61303711,0.79150391,0.2269569020111267
97,377.95410156,1.81469727,0.79150391,0.164372832883044
98,377.954102,2.61303711,0.375488281,0.2544870713721993
99,126.53808594,1.81469727,0.37548828,0.0704941658897925
100,496.70410156,1.67553711,0.66650391,0.2098192993370775
101,245.28808594,1.67553711,0.66650391,0.1324718522963553
102,496.70410156,2.12719727,0.66650391,0.190185468036525
103,496.704102,1.67553711,0.00048828125,0.0833547096892939
104,245.288086,2.12719727,0.00048828125,0.0352953714405967
105,971.704102,2.92553711,0.166503906,0.185626650150816
106,720.288086,2.92553711,0.166503906,0.2166109534650456
107,971.704102,0.877197266,0.166503906,0.1636036505533637
108,971.704102,2.92553711,0.500488281,0.2836287597382945
109,720.288086,0.877197266,0.500488281,0.1990502483832282
110,734.20410156,1.05053711,0.91650391,0.1729395025683059
111,482.78808594,1.05053711,0.91650391,0.2310593152638179
112,734.20410156,1.50219727,0.91650391,0.1993170537489049
113,734.20410156,1.05053711,0.75048828,0.1960657488382496
114,482.78808594,1.50219727,0.75048828,0.189013109804041
