index,pf_size,geno_size,canon_size,red_dup,red_sim,red_total
389,534,403,163,0.24531835205992514,0.5955334987593053,0.6947565543071161
390,875,603,220,0.31085714285714283,0.6351575456053068,0.7485714285714286
391,297,213,114,0.2828282828282829,0.46478873239436624,0.6161616161616161
392,875,621,243,0.29028571428571426,0.6086956521739131,0.7222857142857143
393,875,596,186,0.31885714285714284,0.6879194630872483,0.7874285714285714
394,297,235,152,0.2087542087542088,0.3531914893617021,0.4882154882154882
395,400,228,126,0.43000000000000005,0.4473684210526315,0.685
396,772,446,228,0.42227979274611394,0.4887892376681614,0.7046632124352332
397,400,170,76,0.575,0.5529411764705883,0.81
398,400,213,136,0.4675,0.3615023474178404,0.6599999999999999
399,772,427,157,0.4468911917098446,0.6323185011709602,0.7966321243523315
400,518,361,127,0.30308880308880304,0.6481994459833795,0.7548262548262548
