[17, 18, 18, 18, 3, 18, 18, 5, 18, 18, 18, 3, 3, 3, 0, 11, 9, 3, 18, 18, 14, 3, 3, 3]
[14, 14, 14, 14, 3, 14, 3, 0, 3, 3, 3, 3, 3, 3, 20, 4, 17, 17, 9, 14, 17, 17, 17, 17]
[14, 14, 14, 8, 14, 8, 14, 14, 14, 14, 14, 14, 14, 14, 19, 5, 7, 14, 14, 14, 14, 14, 14, 14]
[14, 14, 14, 8, 14, 8, 14, 14, 14, 14, 14, 14, 14, 14, 21, 18, 7, 14, 14, 14, 14, 14, 14, 14]
[14, 14, 14, 8, 14, 8, 14, 14, 14, 14, 14, 14, 14, 14, 7, 1, 2, 14, 14, 14, 14, 14, 14, 14]
[14, 14, 14, 8, 14, 8, 14, 14, 14, 14, 14, 14, 14, 14, 13, 1, 12, 14, 14, 14, 14, 14, 14, 14]
[14, 14, 14, 8, 14, 8, 14, 14, 14, 14, 14, 14, 14, 14, 19, 1, 10, 14, 14, 14, 14, 14, 14, 14]
[14, 14, 14, 8, 14, 8, 14, 14, 14, 14, 14, 14, 14, 14, 9, 7, 3, 14, 14, 14, 14, 14, 14, 14]
[14, 14, 14, 8, 14, 8, 14, 14, 14, 14, 14, 14, 14, 14, 19, 1, 7, 14, 14, 14, 14, 14, 14, 14]
[14, 14, 14, 8, 14, 8, 14, 1, 14, 14, 14, 14, 14, 14, 19, 5, 7, 14, 14, 14, 14, 14, 14, 14]
[14, 14, 14, 8, 14, 8, 14, 15, 14, 14, 14, 14, 14, 14, 4, 18, 19, 14, 14, 14, 14, 14, 14, 14]
[14, 14, 14, 8, 14, 8, 14, 1, 14, 14, 14, 14, 14, 14, 19, 5, 15, 14, 14, 14, 14, 14, 14, 14]
[14, 14, 14, 8, 14, 8, 14, 21, 14, 14, 14, 14, 14, 14, 19, 1, 12, 14, 14, 14, 14, 14, 14, 14]
[14, 14, 14, 8, 14, 8, 14, 21, 14, 14, 14, 14, 14, 14, 20, 1, 19, 14, 14, 14, 14, 14, 14, 14]
[14, 14, 14, 8, 14, 8, 14, 3, 14, 14, 14, 14, 14, 14, 19, 1, 2, 14, 14, 14, 14, 14, 14, 14]
[14, 14, 14, 8, 14, 8, 14, 15, 14, 14, 14, 14, 14, 14, 20, 1, 19, 14, 14, 14, 14, 14, 14, 14]
[14, 14, 14, 8, 14, 8, 14, 12, 14, 14, 14, 14, 14, 14, 21, 18, 7, 14, 14, 14, 14, 14, 14, 14]
[14, 14, 14, 8, 14, 8, 14, 15, 14, 14, 14, 14, 14, 14, 4, 18, 1, 14, 14, 14, 14, 14, 14, 14]
[6, 14, 14, 8, 14, 8, 14, 11, 14, 12, 14, 14, 14, 14, 3, 10, 19, 14, 23, 17, 8, 8, 8, 8]
[6, 14, 14, 8, 14, 8, 14, 11, 14, 12, 14, 14, 14, 14, 3, 10, 7, 14, 20, 17, 8, 8, 8, 8]
[13, 14, 14, 8, 14, 8, 14, 11, 14, 12, 14, 14, 14, 14, 3, 10, 7, 14, 20, 17, 8, 8, 8, 8]
